,叉烧肠粉,新疆手抓饭,四川火锅,粤式烧鹅饭,大盘鸡拌面,东北饺子,重庆辣子鸡,广东虾饺,剁椒鱼头,兰州拉面,烤羊排
丁一,5,2,1,4,0,0,2,4,0,0,0
刘二,0,0,0,0,0,0,0,0,0,3,0
张三,1,0,5,2,0,0,3,0,3,0,1
李四,0,5,0,0,4,0,1,0,0,0,0
王五,0,0,0,0,0,4,0,0,0,4,0
马六,0,0,1,0,0,0,1,0,0,5,0
陈七,5,0,2,4,2,1,0,3,0,1,0
胡八,0,4,0,0,5,4,0,0,0,0,5
赵九,0,0,0,0,0,0,4,0,4,5,0
钱十,0,0,0,4,0,0,1,5,0,0,0
孙甲,0,0,0,0,4,5,0,0,0,0,3
周乙,4,2,1,4,0,0,2,4,0,0,0
吴丙,0,1,4,1,2,1,5,0,5,0,0
郑丁,0,0,0,0,0,4,0,0,0,4,0
冯戊,2,5,0,0,4,0,0,0,0,0,0
储己,5,0,0,0,0,0,0,4,2,0,0
魏庚,0,2,4,0,4,3,4,0,0,0,0
高辛,0,3,5,1,0,0,4,1,0,0,0
